testDate,expression,movement,quality,benchmarkPct
11/1/2024,dynamic,jump,pre-load,0.498
13/01/2024,dynamic,jump,land,0.69
15/01/2024,dynamic,sprint,max velocity,0.598
17/01/2024,dynamic,upper body,push,0.43
30/01/2024,dynamic,upper body,pull,0.899
31/01/2024,dynamic,jump,pre-load,0.524
13/02/2024,isometric,sprint,acceleration,0.52
25/02/2024,isometric,upper body,grapple,
28/02/2024,dynamic,upper body,push,0.4445
6/3/2024,isometric,upper body,push,0.704
6/3/2024,dynamic,agility,acceleration,0.4445
8/3/2024,isometric,agility,acceleration,0.52
19/03/2024,isometric,agility,rotate,
22/03/2024,isometric,sprint,acceleration,0.52
24/03/2024,isometric,upper body,push,0.704
28/03/2024,dynamic,agility,deceleration,0.89
6/4/2024,isometric,jump,land,
6/4/2024,isometric,agility,deceleration,1.1365
15/04/2024,dynamic,sprint,acceleration,0.43
18/04/2024,isometric,agility,deceleration,1.1365
20/04/2024,dynamic,sprint,max velocity,0.628
22/04/2024,dynamic,upper body,push,0.43
30/04/2024,isometric,jump,pre-load,0.52
5/5/2024,isometric,jump,take off,
28/05/2024,dynamic,jump,pre-load,0.4655
1/6/2024,dynamic,upper body,push,0.43
5/6/2024,isometric,agility,deceleration,1.1365
8/6/2024,isometric,upper body,push,0.704
10/6/2024,dynamic,upper body,pull,0.876
13/06/2024,isometric,agility,acceleration,0.49
13/06/2024,isometric,agility,deceleration,1.1365
17/06/2024,isometric,upper body,grapple,
24/06/2024,isometric,agility,rotate,
28/06/2024,dynamic,agility,acceleration,0.436
29/06/2024,isometric,upper body,pull,
29/06/2024,isometric,sprint,max velocity,0.1995
1/7/2024,dynamic,agility,deceleration,0.89
19/07/2024,dynamic,sprint,max velocity,0.6725
1/8/2024,isometric,jump,pre-load,0.7305
2/8/2024,dynamic,sprint,max velocity,0.6795
5/8/2024,dynamic,jump,pre-load,0.484
15/08/2024,dynamic,jump,pre-load,0.5095
20/08/2024,dynamic,sprint,max velocity,0.67
5/9/2024,isometric,upper body,pull,
16/09/2024,dynamic,upper body,push,0.4955
18/09/2024,isometric,agility,rotate,0.6315
20/09/2024,isometric,sprint,acceleration,0.72
27/09/2024,dynamic,agility,acceleration,0.494
3/10/2024,isometric,agility,deceleration,0.86
26/10/2024,dynamic,agility,acceleration,0.486
4/11/2024,isometric,upper body,pull,
7/11/2024,dynamic,upper body,pull,0.88
9/11/2024,isometric,jump,land,0.39
9/11/2024,isometric,sprint,acceleration,0.7515
14/11/2024,dynamic,sprint,acceleration,0.47
20/11/2024,isometric,jump,pre-load,0.799
24/11/2024,dynamic,jump,pre-load,0.57
24/11/2024,dynamic,upper body,pull,0.88
24/11/2024,dynamic,sprint,acceleration,0.47
27/11/2024,isometric,jump,pre-load,0.79
1/12/2024,isometric,jump,take off,0.438
6/12/2024,isometric,upper body,push,0.876
10/12/2024,isometric,sprint,max velocity,0.685
16/12/2024,dynamic,sprint,acceleration,0.498
27/12/2024,isometric,agility,deceleration,0.9055
5/1/2025,dynamic,jump,take off,0.681
10/1/2025,isometric,upper body,push,0.918
17/01/2025,dynamic,jump,pre-load,0.474
20/01/2025,isometric,jump,land,0.46
21/01/2025,isometric,upper body,grapple,0.6675
21/01/2025,dynamic,upper body,push,0.5
22/01/2025,isometric,upper body,pull,0.46
22/01/2025,isometric,sprint,max velocity,0.749
31/01/2025,isometric,agility,acceleration,0.79
9/2/2025,isometric,jump,pre-load,0.79
12/2/2025,isometric,jump,land,0.397
19/02/2025,dynamic,jump,take off,0.6895
26/02/2025,dynamic,agility,acceleration,0.495
26/02/2025,isometric,sprint,acceleration,0.79
4/3/2025,isometric,sprint,max velocity,0.77
6/3/2025,isometric,agility,acceleration,0.787
3/7/2023,isometric,agility,acceleration,
7/7/2023,dynamic,sprint,acceleration,0.32
10/7/2023,isometric,agility,deceleration,1.01
21/07/2023,isometric,jump,pre-load,
25/07/2023,isometric,sprint,acceleration,
25/08/2023,dynamic,agility,acceleration,0.4
25/08/2023,isometric,agility,rotate,
2/9/2023,isometric,agility,rotate,
12/9/2023,dynamic,sprint,acceleration,0.388
12/9/2023,isometric,sprint,max velocity,
20/09/2023,isometric,upper body,pull,
1/10/2023,isometric,upper body,pull,
8/10/2023,isometric,agility,rotate,
12/10/2023,isometric,upper body,pull,
16/10/2023,dynamic,upper body,pull,0.871
25/10/2023,isometric,agility,rotate,
26/10/2023,isometric,upper body,push,0.67
26/10/2023,isometric,sprint,max velocity,
6/11/2023,dynamic,upper body,push,0.4305
7/11/2023,isometric,agility,deceleration,1.038
22/11/2023,isometric,agility,deceleration,1.038
24/11/2023,isometric,agility,rotate,
4/12/2023,isometric,jump,land,
9/12/2023,dynamic,agility,deceleration,0.87
12/12/2023,isometric,jump,land,
12/12/2023,dynamic,jump,take off,0.6355
22/12/2023,dynamic,agility,acceleration,0.43
24/12/2023,isometric,upper body,grapple,
12/1/2024,isometric,upper body,pull,
17/01/2024,isometric,upper body,push,0.687
17/01/2024,dynamic,sprint,max velocity,0.598
21/01/2024,dynamic,upper body,pull,0.879
24/01/2024,dynamic,sprint,max velocity,0.646
28/01/2024,dynamic,jump,pre-load,0.524
31/01/2024,dynamic,upper body,push,0.4345
4/2/2024,dynamic,agility,acceleration,0.4445
7/2/2024,isometric,jump,pre-load,0.52
8/2/2024,isometric,sprint,acceleration,0.52
28/02/2024,dynamic,agility,deceleration,0.89
10/3/2024,isometric,upper body,push,0.704
27/03/2024,isometric,jump,take off,
27/03/2024,isometric,upper body,grapple,
6/4/2024,dynamic,sprint,max velocity,0.628
20/04/2024,isometric,agility,acceleration,0.52
1/5/2024,isometric,upper body,grapple,
1/5/2024,dynamic,sprint,max velocity,0.628
8/5/2024,dynamic,sprint,max velocity,0.625
9/5/2024,dynamic,agility,deceleration,0.89
14/05/2024,isometric,agility,deceleration,1.1365
25/05/2024,dynamic,sprint,acceleration,0.43
31/05/2024,isometric,jump,land,
5/6/2024,dynamic,sprint,acceleration,0.43
7/6/2024,isometric,upper body,pull,
10/6/2024,isometric,agility,acceleration,0.49
14/06/2024,isometric,upper body,push,0.704
22/06/2024,isometric,agility,acceleration,0.49
23/06/2024,dynamic,jump,land,0.723
25/06/2024,dynamic,jump,land,0.723
26/06/2024,isometric,agility,acceleration,0.49
30/06/2024,dynamic,agility,acceleration,0.436
3/7/2024,dynamic,sprint,max velocity,0.625
3/8/2024,isometric,upper body,push,0.96
11/8/2024,dynamic,upper body,pull,0.852
18/08/2024,isometric,upper body,pull,
29/08/2024,isometric,upper body,grapple,0.6375
1/10/2024,isometric,jump,pre-load,0.6925
10/10/2024,dynamic,jump,take off,0.7165
21/10/2024,isometric,jump,pre-load,0.698
23/10/2024,isometric,jump,take off,0.402
7/11/2024,isometric,jump,land,0.39
2/12/2024,dynamic,agility,deceleration,0.856
8/12/2024,isometric,sprint,acceleration,0.796
19/12/2024,isometric,jump,land,0.4
19/12/2024,dynamic,agility,acceleration,0.498
23/12/2024,isometric,jump,take off,0.42
23/12/2024,dynamic,sprint,max velocity,0.6645
29/12/2024,isometric,agility,deceleration,0.9155
30/12/2024,isometric,agility,deceleration,0.9155
5/1/2025,dynamic,upper body,push,0.498
9/1/2025,isometric,jump,take off,0.46
21/01/2025,dynamic,upper body,pull,0.853
27/01/2025,dynamic,jump,land,0.7465
29/01/2025,dynamic,sprint,max velocity,0.657
5/2/2025,dynamic,jump,land,0.735
9/2/2025,dynamic,jump,land,0.735
10/2/2025,dynamic,jump,take off,0.68
14/02/2025,dynamic,jump,land,0.735
14/02/2025,dynamic,sprint,acceleration,0.495
15/02/2025,dynamic,upper body,push,0.495
24/02/2025,dynamic,jump,take off,0.68
1/3/2025,dynamic,jump,pre-load,0.5605
1/3/2025,isometric,sprint,max velocity,0.77
3/7/2023,dynamic,jump,pre-load,0.5335
12/7/2023,isometric,upper body,push,
20/07/2023,dynamic,jump,take off,0.74
23/07/2023,isometric,upper body,grapple,
27/07/2023,isometric,upper body,push,
30/07/2023,isometric,jump,take off,
16/08/2023,dynamic,sprint,acceleration,0.3395
18/08/2023,isometric,jump,take off,
21/08/2023,isometric,sprint,max velocity,
12/9/2023,dynamic,jump,land,0.69
21/09/2023,dynamic,upper body,push,0.4205
21/09/2023,dynamic,sprint,acceleration,0.4205
22/09/2023,isometric,upper body,pull,
24/09/2023,isometric,jump,land,
7/10/2023,isometric,upper body,push,
7/10/2023,dynamic,sprint,max velocity,0.5705
12/10/2023,isometric,upper body,grapple,
22/10/2023,isometric,agility,deceleration,1.038
14/11/2023,isometric,agility,acceleration,0.52
15/11/2023,isometric,agility,rotate,
19/11/2023,isometric,jump,pre-load,0.52
28/11/2023,dynamic,upper body,pull,0.871
29/11/2023,dynamic,upper body,push,0.43
4/12/2023,dynamic,jump,land,0.688
5/12/2023,isometric,upper body,push,0.664
8/12/2023,isometric,jump,take off,
8/1/2024,dynamic,jump,take off,0.64
10/1/2024,dynamic,jump,take off,0.64
12/1/2024,dynamic,sprint,acceleration,0.43
17/01/2024,dynamic,agility,deceleration,0.879
27/01/2024,dynamic,jump,take off,0.625
28/01/2024,isometric,upper body,grapple,
4/2/2024,isometric,sprint,acceleration,0.52
9/2/2024,isometric,upper body,push,0.772
10/2/2024,isometric,upper body,push,0.772
14/02/2024,dynamic,upper body,pull,0.89
20/02/2024,dynamic,jump,pre-load,0.476
24/02/2024,isometric,sprint,max velocity,
12/3/2024,dynamic,upper body,push,0.4445
18/03/2024,isometric,agility,rotate,
24/03/2024,dynamic,upper body,push,0.4445
18/04/2024,dynamic,jump,land,0.655
26/05/2024,dynamic,sprint,max velocity,0.625
29/05/2024,dynamic,upper body,pull,0.876
31/05/2024,dynamic,upper body,push,0.43
4/6/2024,dynamic,jump,take off,0.62
13/06/2024,dynamic,sprint,acceleration,0.43
27/06/2024,isometric,agility,deceleration,1.1365
4/7/2024,dynamic,upper body,push,0.43
9/7/2024,isometric,jump,pre-load,0.7165
18/07/2024,dynamic,jump,pre-load,0.5175
22/07/2024,dynamic,jump,land,0.675
30/07/2024,dynamic,jump,pre-load,0.484
3/8/2024,dynamic,jump,land,0.652
20/08/2024,dynamic,jump,land,0.652
22/08/2024,dynamic,jump,take off,0.723
27/08/2024,dynamic,agility,deceleration,0.9
6/9/2024,dynamic,agility,acceleration,0.496
8/9/2024,isometric,jump,pre-load,0.7275
10/9/2024,dynamic,jump,pre-load,0.505
10/9/2024,isometric,sprint,acceleration,0.7275
11/9/2024,dynamic,sprint,acceleration,0.4955
13/09/2024,dynamic,jump,land,0.6495
21/09/2024,dynamic,upper body,push,0.494
5/10/2024,dynamic,jump,take off,0.6955
30/10/2024,isometric,upper body,pull,
9/11/2024,dynamic,upper body,push,0.47
9/11/2024,dynamic,agility,acceleration,0.47
16/11/2024,isometric,jump,take off,0.39
26/11/2024,isometric,upper body,push,0.876
5/12/2024,isometric,sprint,max velocity,0.685
12/12/2024,dynamic,jump,take off,0.69
13/12/2024,dynamic,agility,deceleration,0.876
26/12/2024,dynamic,jump,take off,0.69
31/12/2024,isometric,jump,land,0.42
4/1/2025,isometric,jump,pre-load,0.79
10/1/2025,isometric,agility,deceleration,0.92
12/1/2025,dynamic,jump,pre-load,0.474
8/2/2025,dynamic,jump,take off,0.68
8/2/2025,isometric,agility,acceleration,0.79
17/02/2025,isometric,sprint,acceleration,0.787
9/3/2025,dynamic,agility,deceleration,0.88
2/7/2023,isometric,jump,take off,
12/7/2023,dynamic,jump,land,0.702
16/07/2023,dynamic,upper body,push,0.33
22/07/2023,isometric,upper body,pull,
22/07/2023,isometric,upper body,push,
29/07/2023,dynamic,upper body,push,0.395
30/07/2023,isometric,jump,land,
1/8/2023,dynamic,jump,land,0.69
5/8/2023,isometric,agility,acceleration,
5/8/2023,isometric,sprint,max velocity,
6/8/2023,dynamic,upper body,pull,0.8525
9/8/2023,dynamic,sprint,max velocity,0.67
12/8/2023,dynamic,agility,deceleration,0.8695
26/08/2023,isometric,agility,acceleration,0.52
31/08/2023,dynamic,jump,take off,0.6985
10/9/2023,isometric,upper body,grapple,
15/09/2023,dynamic,jump,land,0.69
16/09/2023,isometric,agility,rotate,
3/10/2023,dynamic,sprint,max velocity,0.5705
5/10/2023,isometric,jump,land,
5/10/2023,isometric,agility,deceleration,1.0395
13/10/2023,dynamic,agility,deceleration,0.871
16/10/2023,isometric,sprint,max velocity,
30/10/2023,isometric,upper body,pull,
4/11/2023,isometric,sprint,acceleration,0.52
5/11/2023,dynamic,sprint,acceleration,0.4305
9/11/2023,isometric,jump,pre-load,0.52
10/11/2023,isometric,jump,land,
13/11/2023,isometric,upper body,pull,
13/11/2023,dynamic,sprint,acceleration,0.43
16/11/2023,dynamic,agility,deceleration,0.871
27/11/2023,isometric,jump,pre-load,0.52
14/12/2023,isometric,upper body,pull,
19/12/2023,dynamic,upper body,pull,0.87
3/1/2024,isometric,upper body,pull,
4/1/2024,isometric,upper body,push,0.664
9/1/2024,isometric,agility,acceleration,0.52
10/1/2024,dynamic,upper body,pull,0.879
19/01/2024,isometric,upper body,push,0.687
21/01/2024,isometric,agility,rotate,
30/01/2024,dynamic,agility,acceleration,0.4345
7/2/2024,isometric,agility,rotate,
14/02/2024,isometric,jump,take off,
16/02/2024,isometric,upper body,grapple,
7/3/2024,isometric,agility,acceleration,0.52
15/03/2024,isometric,jump,land,
10/4/2024,dynamic,jump,land,0.655
16/04/2024,dynamic,agility,acceleration,0.43
22/04/2024,isometric,agility,acceleration,0.52
24/04/2024,isometric,sprint,max velocity,-0.2
25/04/2024,isometric,sprint,max velocity,-0.2
4/5/2024,dynamic,jump,pre-load,0.521
6/5/2024,isometric,upper body,pull,
8/5/2024,dynamic,agility,acceleration,0.43
22/05/2024,isometric,sprint,max velocity,0.1995
24/05/2024,isometric,jump,take off,
3/6/2024,isometric,jump,pre-load,0.49
8/6/2024,dynamic,upper body,push,0.43
13/06/2024,isometric,sprint,max velocity,0.1995
15/06/2024,isometric,jump,pre-load,0.49
18/06/2024,dynamic,jump,land,0.723
25/06/2024,dynamic,agility,deceleration,0.89
7/7/2024,isometric,jump,land,0.1
12/7/2024,isometric,agility,rotate,
15/07/2024,isometric,sprint,max velocity,0.768
17/07/2024,isometric,jump,land,0.3975
21/07/2024,isometric,upper body,push,0.922
9/8/2024,isometric,jump,land,0.363
9/8/2024,dynamic,upper body,pull,0.852
15/08/2024,dynamic,sprint,max velocity,0.6795
1/10/2024,dynamic,sprint,max velocity,0.67
11/10/2024,isometric,agility,rotate,0.6595
13/11/2024,dynamic,jump,pre-load,0.57
19/11/2024,dynamic,jump,pre-load,0.57
9/12/2024,isometric,agility,deceleration,0.8655
11/12/2024,isometric,upper body,pull,0.46
20/12/2024,isometric,jump,pre-load,0.796
21/12/2024,isometric,agility,deceleration,0.9155
26/12/2024,dynamic,jump,land,0.728
2/1/2025,dynamic,upper body,push,0.498
18/01/2025,dynamic,sprint,max velocity,0.667
1/2/2025,dynamic,upper body,pull,0.873
3/2/2025,dynamic,upper body,pull,0.873
5/2/2025,dynamic,upper body,pull,0.87
6/2/2025,isometric,agility,deceleration,0.9595
7/2/2025,isometric,jump,land,0.39
12/2/2025,isometric,upper body,grapple,0.6415
26/02/2025,dynamic,upper body,push,0.495
8/7/2023,dynamic,agility,acceleration,0.32
10/7/2023,dynamic,sprint,max velocity,0.67
16/07/2023,isometric,sprint,acceleration,
18/07/2023,isometric,upper body,push,
24/07/2023,isometric,agility,rotate,
25/07/2023,dynamic,jump,take off,0.7365
8/8/2023,dynamic,jump,pre-load,0.589
10/8/2023,dynamic,jump,pre-load,0.6175
10/8/2023,isometric,jump,take off,
17/08/2023,isometric,sprint,max velocity,
19/08/2023,isometric,upper body,grapple,
21/08/2023,dynamic,jump,land,0.69
2/9/2023,dynamic,sprint,acceleration,0.3945
3/9/2023,dynamic,agility,deceleration,0.877
6/9/2023,dynamic,agility,deceleration,0.877
8/9/2023,isometric,sprint,max velocity,
25/09/2023,dynamic,sprint,max velocity,0.5845
26/09/2023,isometric,agility,acceleration,0.52
29/09/2023,isometric,jump,take off,
5/10/2023,dynamic,jump,take off,0.68
21/10/2023,dynamic,agility,deceleration,0.871
24/10/2023,dynamic,upper body,push,0.4305
8/11/2023,isometric,agility,deceleration,1.038
9/11/2023,dynamic,jump,take off,0.6655
21/11/2023,isometric,upper body,grapple,
23/11/2023,dynamic,jump,land,0.69
23/11/2023,isometric,jump,pre-load,0.52
23/11/2023,isometric,jump,take off,
4/12/2023,isometric,upper body,push,0.67
7/12/2023,isometric,agility,acceleration,0.52
8/12/2023,dynamic,jump,pre-load,0.4955
8/12/2023,isometric,agility,rotate,
13/12/2023,isometric,jump,take off,
17/12/2023,isometric,upper body,push,0.664
29/12/2023,dynamic,jump,pre-load,0.484
7/1/2024,dynamic,jump,pre-load,0.504
11/1/2024,isometric,sprint,max velocity,
12/1/2024,dynamic,agility,acceleration,0.43
13/01/2024,dynamic,sprint,acceleration,0.43
7/2/2024,dynamic,agility,acceleration,0.4445
7/2/2024,isometric,agility,acceleration,0.52
7/2/2024,dynamic,agility,deceleration,0.89
8/2/2024,isometric,agility,deceleration,1.148
9/2/2024,isometric,agility,rotate,
17/02/2024,isometric,upper body,push,0.772
18/02/2024,isometric,upper body,push,0.772
19/02/2024,dynamic,upper body,push,0.4345
24/02/2024,dynamic,jump,pre-load,0.479
1/3/2024,dynamic,jump,pre-load,0.479
5/3/2024,isometric,sprint,acceleration,0.52
6/3/2024,isometric,agility,rotate,
14/03/2024,isometric,upper body,push,0.704
16/03/2024,dynamic,agility,deceleration,0.89
26/03/2024,isometric,upper body,push,0.704
27/03/2024,dynamic,upper body,push,0.4345
31/03/2024,dynamic,jump,take off,0.6525
1/4/2024,dynamic,upper body,push,0.44
14/04/2024,dynamic,sprint,max velocity,0.628
19/04/2024,isometric,agility,rotate,
20/04/2024,dynamic,agility,acceleration,0.43
25/04/2024,dynamic,upper body,push,0.43
25/04/2024,isometric,agility,deceleration,1.1365
28/04/2024,dynamic,upper body,pull,0.89
3/5/2024,isometric,jump,take off,
4/5/2024,isometric,agility,deceleration,1.1365
7/5/2024,dynamic,sprint,acceleration,0.43
9/5/2024,isometric,upper body,grapple,
29/05/2024,dynamic,jump,pre-load,0.4655
5/6/2024,dynamic,jump,pre-load,0.4655
12/6/2024,dynamic,jump,pre-load,0.4655
22/06/2024,dynamic,jump,land,0.723
22/06/2024,isometric,agility,rotate,
10/7/2024,isometric,agility,deceleration,1.135
13/07/2024,isometric,agility,acceleration,0.7165
15/07/2024,dynamic,upper body,pull,0.894
1/8/2024,isometric,agility,rotate,0.384
1/8/2024,dynamic,sprint,acceleration,0.428
1/8/2024,isometric,sprint,max velocity,0.756
8/8/2024,isometric,agility,rotate,0.384
10/8/2024,dynamic,jump,take off,0.723
11/8/2024,isometric,agility,acceleration,0.7305
12/8/2024,isometric,sprint,acceleration,0.7305
17/08/2024,isometric,agility,acceleration,0.7305
21/08/2024,isometric,agility,rotate,0.3585
24/08/2024,isometric,sprint,acceleration,0.7305
26/08/2024,dynamic,jump,take off,0.6915
4/9/2024,dynamic,agility,acceleration,0.496
6/9/2024,dynamic,upper body,push,0.496
11/9/2024,isometric,agility,acceleration,0.7275
24/09/2024,dynamic,jump,take off,0.6955
27/09/2024,isometric,sprint,max velocity,0.6975
29/09/2024,isometric,upper body,push,0.936
30/09/2024,dynamic,agility,deceleration,0.896
2/10/2024,isometric,jump,land,0.426
2/10/2024,dynamic,upper body,push,0.494
3/10/2024,dynamic,agility,acceleration,0.494
6/10/2024,dynamic,sprint,max velocity,0.6745
22/10/2024,dynamic,sprint,max velocity,0.67
3/11/2024,dynamic,jump,take off,0.69
6/11/2024,isometric,upper body,pull,
11/11/2024,isometric,sprint,acceleration,0.7515
12/11/2024,isometric,agility,rotate,0.6795
16/11/2024,dynamic,jump,pre-load,0.57
27/11/2024,dynamic,agility,deceleration,0.88
30/11/2024,isometric,jump,land,0.438
30/11/2024,dynamic,agility,acceleration,0.498
1/12/2024,isometric,sprint,max velocity,0.73
8/12/2024,dynamic,sprint,acceleration,0.498
9/12/2024,dynamic,upper body,pull,0.876
21/12/2024,isometric,sprint,acceleration,0.796
23/12/2024,isometric,jump,pre-load,0.796
23/12/2024,dynamic,jump,take off,0.69
9/1/2025,isometric,upper body,push,0.918
11/1/2025,isometric,jump,pre-load,0.79
11/1/2025,isometric,sprint,acceleration,0.79
24/01/2025,isometric,jump,land,0.4495
25/01/2025,dynamic,jump,pre-load,0.53
24/02/2025,isometric,sprint,acceleration,0.79
28/02/2025,isometric,upper body,grapple,0.6385
9/3/2025,isometric,sprint,acceleration,0.787
9/7/2023,isometric,jump,take off,
18/07/2023,dynamic,jump,pre-load,0.589
19/07/2023,dynamic,sprint,max velocity,0.67
22/07/2023,isometric,upper body,grapple,
2/8/2023,isometric,jump,pre-load,
11/8/2023,dynamic,sprint,max velocity,0.67
22/08/2023,dynamic,jump,land,0.69
3/9/2023,isometric,agility,deceleration,1.0395
7/9/2023,dynamic,jump,land,0.69
2/10/2023,dynamic,jump,land,0.69
2/10/2023,isometric,agility,acceleration,0.52
26/10/2023,dynamic,sprint,max velocity,0.6475
29/10/2023,isometric,sprint,acceleration,0.52
1/11/2023,isometric,upper body,pull,
5/11/2023,isometric,upper body,push,0.67
7/11/2023,isometric,upper body,grapple,
14/11/2023,isometric,upper body,grapple,
16/11/2023,dynamic,jump,take off,0.64
22/12/2023,isometric,jump,land,
28/12/2023,isometric,agility,deceleration,1.112
3/1/2024,dynamic,upper body,pull,0.87
9/1/2024,isometric,jump,pre-load,0.52
9/1/2024,dynamic,sprint,acceleration,0.426
9/1/2024,isometric,sprint,max velocity,
17/01/2024,dynamic,jump,land,0.69
21/01/2024,isometric,agility,deceleration,1.138
23/01/2024,dynamic,upper body,push,0.4345
25/01/2024,isometric,upper body,pull,
12/2/2024,dynamic,jump,land,0.668
20/02/2024,isometric,jump,land,
21/02/2024,isometric,upper body,push,0.772
2/3/2024,dynamic,sprint,max velocity,0.637
11/3/2024,isometric,sprint,acceleration,0.52
15/03/2024,dynamic,jump,land,0.668
16/03/2024,isometric,agility,rotate,
19/03/2024,isometric,upper body,push,0.704
1/4/2024,dynamic,jump,land,0.6625
24/04/2024,isometric,upper body,pull,
25/04/2024,isometric,jump,land,
3/5/2024,isometric,jump,pre-load,0.52
8/5/2024,isometric,upper body,grapple,
8/5/2024,isometric,sprint,max velocity,0.1995
14/05/2024,dynamic,upper body,push,0.43
24/05/2024,isometric,agility,deceleration,1.1365
8/6/2024,dynamic,agility,deceleration,0.876
16/06/2024,isometric,jump,pre-load,0.49
16/06/2024,dynamic,upper body,pull,0.89
17/06/2024,isometric,jump,take off,
21/06/2024,isometric,jump,take off,
23/06/2024,dynamic,upper body,push,0.436
1/7/2024,isometric,agility,deceleration,1.135
7/7/2024,dynamic,upper body,push,0.43
9/7/2024,isometric,sprint,acceleration,0.7165
23/07/2024,isometric,upper body,push,0.922
27/07/2024,isometric,agility,deceleration,1.0335
21/08/2024,dynamic,sprint,acceleration,0.428
9/9/2024,isometric,jump,land,0.368
16/09/2024,isometric,jump,take off,0.386
18/09/2024,isometric,jump,take off,0.3945
19/09/2024,isometric,upper body,pull,
28/09/2024,dynamic,sprint,max velocity,0.702
28/09/2024,isometric,sprint,max velocity,0.6975
29/09/2024,dynamic,jump,pre-load,0.57
4/10/2024,isometric,jump,land,0.426
4/10/2024,isometric,jump,pre-load,0.6925
4/10/2024,dynamic,jump,take off,0.6955
8/10/2024,dynamic,upper body,pull,0.868
11/10/2024,isometric,agility,acceleration,0.6925
12/10/2024,isometric,jump,land,0.426
13/10/2024,dynamic,upper body,pull,0.868
17/10/2024,isometric,upper body,grapple,0.6595
28/10/2024,dynamic,agility,acceleration,0.486
12/11/2024,dynamic,jump,take off,0.69
15/11/2024,isometric,upper body,grapple,0.6795
17/11/2024,isometric,sprint,max velocity,0.6325
30/11/2024,isometric,agility,acceleration,0.79
30/11/2024,isometric,agility,deceleration,0.87
9/12/2024,isometric,jump,land,0.42
11/12/2024,dynamic,agility,acceleration,0.498
14/12/2024,isometric,upper body,pull,0.46
16/12/2024,isometric,sprint,acceleration,0.796
21/12/2024,isometric,agility,rotate,0.68
28/12/2024,isometric,upper body,pull,0.46
30/12/2024,isometric,upper body,push,0.876
1/1/2025,isometric,agility,deceleration,0.9155
6/1/2025,isometric,upper body,push,0.876
7/1/2025,dynamic,upper body,pull,0.853
13/01/2025,isometric,upper body,push,0.918
22/01/2025,dynamic,upper body,push,0.5
4/2/2025,isometric,upper body,grapple,0.6445
5/2/2025,dynamic,jump,take off,0.68
13/02/2025,dynamic,upper body,push,0.495
15/02/2025,isometric,upper body,grapple,0.6415
23/02/2025,isometric,sprint,max velocity,0.707
25/02/2025,isometric,jump,land,0.3955
3/3/2025,isometric,agility,acceleration,0.807
4/3/2025,isometric,agility,rotate,0.6385
11/3/2025,isometric,agility,deceleration,0.96
12/3/2025,dynamic,upper body,push,0.49
19/07/2023,isometric,agility,acceleration,
11/8/2023,dynamic,jump,land,0.69
14/08/2023,isometric,jump,take off,
17/08/2023,isometric,jump,pre-load,
23/08/2023,isometric,jump,land,
31/08/2023,isometric,upper body,push,
31/08/2023,isometric,agility,deceleration,1.0395
10/9/2023,dynamic,jump,take off,0.7085
13/09/2023,dynamic,sprint,acceleration,0.388
27/09/2023,dynamic,agility,acceleration,0.4305
2/10/2023,dynamic,agility,acceleration,0.4305
24/10/2023,dynamic,sprint,acceleration,0.4305
28/10/2023,isometric,upper body,grapple,
31/10/2023,dynamic,sprint,max velocity,0.6475
11/11/2023,isometric,upper body,grapple,
20/11/2023,dynamic,jump,take off,0.631
26/11/2023,isometric,sprint,acceleration,0.52
11/12/2023,isometric,jump,pre-load,0.52
11/12/2023,dynamic,jump,take off,0.6355
13/12/2023,dynamic,agility,deceleration,0.87
15/12/2023,isometric,agility,deceleration,1.04
23/12/2023,dynamic,sprint,acceleration,0.43
25/12/2023,isometric,agility,deceleration,1.112
1/1/2024,isometric,upper body,pull,
7/1/2024,isometric,jump,take off,
8/1/2024,isometric,agility,rotate,
10/1/2024,isometric,upper body,pull,
12/1/2024,isometric,sprint,acceleration,0.52
16/01/2024,isometric,jump,land,
18/01/2024,isometric,upper body,grapple,
28/01/2024,dynamic,upper body,push,0.4345
4/2/2024,isometric,jump,pre-load,0.52
19/02/2024,isometric,jump,take off,
5/3/2024,dynamic,sprint,acceleration,0.4445
8/3/2024,dynamic,jump,land,0.668
9/3/2024,dynamic,agility,acceleration,0.4445
22/03/2024,isometric,upper body,grapple,
2/4/2024,isometric,upper body,push,0.704
16/04/2024,isometric,sprint,max velocity,-0.2
28/04/2024,isometric,jump,land,
10/5/2024,isometric,upper body,pull,
16/05/2024,isometric,upper body,push,0.704
4/6/2024,isometric,jump,take off,
12/6/2024,dynamic,sprint,acceleration,0.43
17/06/2024,dynamic,jump,pre-load,0.4655
20/06/2024,isometric,jump,land,
27/06/2024,isometric,jump,pre-load,0.49
30/06/2024,isometric,agility,acceleration,0.49
3/7/2024,dynamic,upper body,pull,0.89
5/7/2024,isometric,agility,deceleration,1.135
8/7/2024,dynamic,jump,land,0.684
11/7/2024,isometric,agility,acceleration,0.7165
11/7/2024,isometric,agility,deceleration,1.044
18/07/2024,isometric,agility,rotate,0.278
20/07/2024,isometric,agility,acceleration,0.685
6/8/2024,isometric,agility,deceleration,1.032
7/8/2024,dynamic,upper body,push,0.428
8/8/2024,isometric,jump,take off,0.363
10/8/2024,isometric,sprint,max velocity,0.756
16/08/2024,isometric,jump,pre-load,0.7305
20/08/2024,isometric,upper body,push,0.96
21/08/2024,dynamic,jump,take off,0.723
23/08/2024,isometric,jump,pre-load,0.7305
2/9/2024,dynamic,agility,deceleration,0.9
